main_sku,product,sku,component_name,begin_date,end_date,cost
BOR001,Borrifador fino e cilíndrico,BOR001VAR001,"Borrifador fino, cilíndrico pole preto",01/07/2024,,"7,00"
BOR001,Borrifador fino e cilíndrico,BOR001VAR002,"Borrifador fino, cilíndrico pole branco",01/07/2024,,"7,00"
BOR001,Borrifador fino e cilíndrico,BOR001VAR003,"Borrifador fino, cilíndrico branco pole com caveira",01/07/2024,,"7,00"
BOR002,Borrifador largo e quadrado,BOR002VAR001,"Borrifador largo, quadrado, pole, branco, azul e vermelho",01/07/2024,,"12,50"
BOR002,Borrifador largo e quadrado,BOR002VAR002,"Borrifador largo, quadrado, Reino Unido",01/07/2024,,"12,50"
BOR002,Borrifador largo e quadrado,BOR002VAR003,"Borrifador largo, quadrado, Estados Unidos",01/07/2024,,"12,50"
BOR002,Borrifador largo e quadrado,BOR002VAR004,"Borrifador largo, quadrado, Cervejas",01/07/2024,,"12,50"
BOR003,"Borrifador fino,  cilíndrico, com adorno",BOR003VAR001,"Borrifador cilíndrico prata, listras azuis e vermelhas",01/07/2024,,
BOR003,"Borrifador fino,  cilíndrico, com adorno",BOR003VAR002,"Borrifador cilíndrico dourado, listras azuis e vermelhas",01/07/2024,,
BOR004,Borrifador Caveira,BOR004VAR001,Borrifador Caveira,01/07/2024,,"12,50"
BOR005,Borrifador pequeno e cilíndrico,BOR005VAR001,Borrifador profissional estampa pole,01/07/2024,,
BOR005,Borrifador pequeno e cilíndrico,BOR005VAR002,Borrifador profissional estampa bigode,01/07/2024,,"8,50"
BOR006,Borrifador automático,BOR006VAR001,Borrifador automático preto,01/07/2024,,"10,00"
BOR007,Borrifador torre,BOR007VAR001,Borrifador torre branco,01/07/2024,,"6,00"
DUR001,Durag de cetim,DUR001VAR001,Durag de cetim preta,01/07/2024,31/10/2024,"6,00"
DUR001,Durag de cetim,DUR001VAR001,Durag de cetim preta,1/11/2024,07/12/2025,"5,00"
DUR001,Durag de cetim,DUR001VAR001,Durag de cetim preta,08/12/2025,,"4,00"
DUR001,Durag de cetim,DUR001VAR002,Durag de cetim branca,01/07/2024,,"6,00"
