[2025-06-11T18:23:29.819+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-11T18:23:29.842+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 06_delete_entry_data.delete_ml_sh_files manual__2025-06-11T18:23:27.423834+00:00 [queued]>
[2025-06-11T18:23:29.854+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 06_delete_entry_data.delete_ml_sh_files manual__2025-06-11T18:23:27.423834+00:00 [queued]>
[2025-06-11T18:23:29.855+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-06-11T18:23:29.869+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): delete_ml_sh_files> on 2025-06-11 18:23:27.423834+00:00
[2025-06-11T18:23:29.875+0000] {standard_task_runner.py:72} INFO - Started process 331 to run task
[2025-06-11T18:23:29.880+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', '06_delete_entry_data', 'delete_ml_sh_files', 'manual__2025-06-11T18:23:27.423834+00:00', '--job-id', '859', '--raw', '--subdir', 'DAGS_FOLDER/06_delete_files_tables.py', '--cfg-path', '/tmp/tmp3c6948ji']
[2025-06-11T18:23:29.882+0000] {standard_task_runner.py:105} INFO - Job 859: Subtask delete_ml_sh_files
[2025-06-11T18:23:29.944+0000] {task_command.py:467} INFO - Running <TaskInstance: 06_delete_entry_data.delete_ml_sh_files manual__2025-06-11T18:23:27.423834+00:00 [running]> on host 28e6a58e4107
[2025-06-11T18:23:30.037+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='06_delete_entry_data' AIRFLOW_CTX_TASK_ID='delete_ml_sh_files' AIRFLOW_CTX_EXECUTION_DATE='2025-06-11T18:23:27.423834+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-11T18:23:27.423834+00:00'
[2025-06-11T18:23:30.038+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-11T18:23:30.059+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_0.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.061+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_1.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.062+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_10.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.064+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_100.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.065+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_101.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.067+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_102.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.068+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_103.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
