[2025-06-11T18:25:48.221+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-11T18:25:48.240+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 06_delete_entry_data.delete_ml_sh_files manual__2025-06-11T18:25:47.137832+00:00 [queued]>
[2025-06-11T18:25:48.249+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 06_delete_entry_data.delete_ml_sh_files manual__2025-06-11T18:25:47.137832+00:00 [queued]>
[2025-06-11T18:25:48.250+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-06-11T18:25:48.265+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): delete_ml_sh_files> on 2025-06-11 18:25:47.137832+00:00
[2025-06-11T18:25:48.269+0000] {standard_task_runner.py:72} INFO - Started process 370 to run task
[2025-06-11T18:25:48.273+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', '06_delete_entry_data', 'delete_ml_sh_files', 'manual__2025-06-11T18:25:47.137832+00:00', '--job-id', '862', '--raw', '--subdir', 'DAGS_FOLDER/06_delete_files_tables.py', '--cfg-path', '/tmp/tmpnb7z6gh2']
[2025-06-11T18:25:48.276+0000] {standard_task_runner.py:105} INFO - Job 862: Subtask delete_ml_sh_files
[2025-06-11T18:25:48.346+0000] {task_command.py:467} INFO - Running <TaskInstance: 06_delete_entry_data.delete_ml_sh_files manual__2025-06-11T18:25:47.137832+00:00 [running]> on host 28e6a58e4107
[2025-06-11T18:25:48.456+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='06_delete_entry_data' AIRFLOW_CTX_TASK_ID='delete_ml_sh_files' AIRFLOW_CTX_EXECUTION_DATE='2025-06-11T18:25:47.137832+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-11T18:25:47.137832+00:00'
[2025-06-11T18:25:48.457+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-11T18:25:48.481+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
[2025-06-11T18:25:48.483+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
[2025-06-11T18:25:48.486+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
[2025-06-11T18:25:48.488+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
[2025-06-11T18:25:48.491+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
[2025-06-11T18:25:48.494+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
[2025-06-11T18:25:48.496+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
[2025-06-11T18:25:48.499+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/ with extension *.json
