[2025-06-12T00:14:21.747+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-12T00:14:21.768+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-12T00:14:20.372409+00:00 [queued]>
[2025-06-12T00:14:21.777+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-12T00:14:20.372409+00:00 [queued]>
[2025-06-12T00:14:21.778+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-06-12T00:14:21.791+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): delete_ml_sh_files> on 2025-06-12 00:14:20.372409+00:00
[2025-06-12T00:14:21.795+0000] {standard_task_runner.py:72} INFO - Started process 8920 to run task
[2025-06-12T00:14:21.800+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', '06_delete_entry_data_prod', 'delete_ml_sh_files', 'manual__2025-06-12T00:14:20.372409+00:00', '--job-id', '993', '--raw', '--subdir', 'DAGS_FOLDER/06_delete_files_tables_prod.py', '--cfg-path', '/tmp/tmpmbxo9tbb']
[2025-06-12T00:14:21.802+0000] {standard_task_runner.py:105} INFO - Job 993: Subtask delete_ml_sh_files
[2025-06-12T00:14:21.866+0000] {task_command.py:467} INFO - Running <TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-12T00:14:20.372409+00:00 [running]> on host 28e6a58e4107
[2025-06-12T00:14:21.966+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='06_delete_entry_data_prod' AIRFLOW_CTX_TASK_ID='delete_ml_sh_files' AIRFLOW_CTX_EXECUTION_DATE='2025-06-12T00:14:20.372409+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-12T00:14:20.372409+00:00'
[2025-06-12T00:14:21.968+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-12T00:14:21.991+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:14:21.994+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:14:21.997+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:14:21.999+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:14:22.000+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:14:22.003+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:14:22.006+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:14:22.009+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
