[2025-06-12T00:23:17.346+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-12T00:23:17.367+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-12T00:23:16.022879+00:00 [queued]>
[2025-06-12T00:23:17.377+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-12T00:23:16.022879+00:00 [queued]>
[2025-06-12T00:23:17.378+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-06-12T00:23:17.393+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): delete_ml_sh_files> on 2025-06-12 00:23:16.022879+00:00
[2025-06-12T00:23:17.400+0000] {standard_task_runner.py:72} INFO - Started process 10577 to run task
[2025-06-12T00:23:17.404+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', '06_delete_entry_data_prod', 'delete_ml_sh_files', 'manual__2025-06-12T00:23:16.022879+00:00', '--job-id', '1014', '--raw', '--subdir', 'DAGS_FOLDER/06_delete_files_tables_prod.py', '--cfg-path', '/tmp/tmpfbpq8xl1']
[2025-06-12T00:23:17.406+0000] {standard_task_runner.py:105} INFO - Job 1014: Subtask delete_ml_sh_files
[2025-06-12T00:23:17.471+0000] {task_command.py:467} INFO - Running <TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-12T00:23:16.022879+00:00 [running]> on host 28e6a58e4107
[2025-06-12T00:23:17.567+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='06_delete_entry_data_prod' AIRFLOW_CTX_TASK_ID='delete_ml_sh_files' AIRFLOW_CTX_EXECUTION_DATE='2025-06-12T00:23:16.022879+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-12T00:23:16.022879+00:00'
[2025-06-12T00:23:17.568+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-12T00:23:17.593+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:23:17.595+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:23:17.598+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:23:17.601+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:23:17.604+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:23:17.607+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:23:17.610+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
[2025-06-12T00:23:17.613+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/prod/ with extension *.json
