[2025-06-23T17:33:38.240+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-23T17:33:38.261+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-23T17:33:36.629182+00:00 [queued]>
[2025-06-23T17:33:38.269+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-23T17:33:36.629182+00:00 [queued]>
[2025-06-23T17:33:38.270+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-06-23T17:33:38.282+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): delete_ml_sh_files> on 2025-06-23 17:33:36.629182+00:00
[2025-06-23T17:33:38.287+0000] {standard_task_runner.py:72} INFO - Started process 2569 to run task
[2025-06-23T17:33:38.291+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', '06_delete_entry_data_prod', 'delete_ml_sh_files', 'manual__2025-06-23T17:33:36.629182+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/06_delete_files_tables_prod.py', '--cfg-path', '/tmp/tmpi2wqrpbg']
[2025-06-23T17:33:38.293+0000] {standard_task_runner.py:105} INFO - Job 36: Subtask delete_ml_sh_files
[2025-06-23T17:33:38.357+0000] {task_command.py:467} INFO - Running <TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-23T17:33:36.629182+00:00 [running]> on host b208c9761688
[2025-06-23T17:33:38.443+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='06_delete_entry_data_prod' AIRFLOW_CTX_TASK_ID='delete_ml_sh_files' AIRFLOW_CTX_EXECUTION_DATE='2025-06-23T17:33:36.629182+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-23T17:33:36.629182+00:00'
[2025-06-23T17:33:38.444+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-23T17:33:38.460+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:33:38.463+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:33:38.466+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:33:38.468+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:33:38.471+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:33:38.473+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:33:38.476+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:33:38.479+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
