[2025-06-23T17:42:03.831+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-06-23T17:42:03.852+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-23T17:42:01.500188+00:00 [queued]>
[2025-06-23T17:42:03.863+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-23T17:42:01.500188+00:00 [queued]>
[2025-06-23T17:42:03.864+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-06-23T17:42:03.877+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): delete_ml_sh_files> on 2025-06-23 17:42:01.500188+00:00
[2025-06-23T17:42:03.882+0000] {standard_task_runner.py:72} INFO - Started process 4195 to run task
[2025-06-23T17:42:03.886+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', '06_delete_entry_data_prod', 'delete_ml_sh_files', 'manual__2025-06-23T17:42:01.500188+00:00', '--job-id', '53', '--raw', '--subdir', 'DAGS_FOLDER/06_delete_files_tables_prod.py', '--cfg-path', '/tmp/tmps6g7om4f']
[2025-06-23T17:42:03.887+0000] {standard_task_runner.py:105} INFO - Job 53: Subtask delete_ml_sh_files
[2025-06-23T17:42:03.947+0000] {task_command.py:467} INFO - Running <TaskInstance: 06_delete_entry_data_prod.delete_ml_sh_files manual__2025-06-23T17:42:01.500188+00:00 [running]> on host b208c9761688
[2025-06-23T17:42:04.051+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='06_delete_entry_data_prod' AIRFLOW_CTX_TASK_ID='delete_ml_sh_files' AIRFLOW_CTX_EXECUTION_DATE='2025-06-23T17:42:01.500188+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-23T17:42:01.500188+00:00'
[2025-06-23T17:42:04.052+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-06-23T17:42:04.075+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.078+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.081+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.083+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.086+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.089+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.091+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
[2025-06-23T17:42:04.094+0000] {logging_mixin.py:190} INFO - Deleted all files in /opt/***/data/mercadolivre/shipping_cost_ml/prod/ with extension *.json
